Name,Source,Max Bounty($),Total Paid Amount($),Response Time(Mins)(Editable),Languages(Editable),Product Types(Editable),Project Types(Editable),Ecosystems(Editable),Program Types(Editable),Last Updated(Editable),Hash
InsureDAO,Hats finance,494,618,,"","","","","",,b99e89540be6f05997064e2ea0b5b118998267555dc7ab1bc96bc11ef5175fcd
Liquity,Hats finance,10030,10132,,"","","","","",,162cdd88f9a934230274834d4151c9545d93c699c452de8154e57e7df0d25324
DeFiner,Hats finance,7,9,,"","","","","",,adf0c43207587562c155b9fc31fd4dc6e1a8933171216c7d2d64003ecccd1afd
ARTH Loans,Hats finance,2577,3222,,"","","","","",,13adf34fe68e433a6ca53206db594d6df84336265ec02f368dcae7b6a16e4b6e
Vaultka ,Hats finance,1228,1365,,"","","","","",,48b7137c37d35b64889928b82194cb2237d56891fa0a3251733637cf88c1f614
Premia Bug Bounty,Hats finance,25604,28448,,"","","","","",,9243181adf37c9f4692a0adea3db9598ea47e79940f492af5050244ca60f671c
Angle,Hats finance,22921,28651,,"","","","","",,a7ccc88620b0ed0074bbf1870a50d32a6a03abc0dca96afeb37fbe59b343ff3d
HOPR,Hats finance,67814,90419,,"","","","","",,6f37b85e3d8f9c57a7b337a157546dd541f87daaeddae884939389c49de17d33
tempus.finance,Hats finance,1150,1438,,"","","","","",,088da22a8820e37965e341ef8b089b4d6a5c65b4b677272d9b3e6058e70fe2b4
Idle.finance,Hats finance,20536,25670,,"","","","","",,887017c135a6ee2c02c8c5957799b62d6d6f9bc3e35c28da87d729b4050d7825
Jelly,Hats finance,1834,2292,,"","","","","",,f55c29858c86d2b61b07781e8ab735813a7729b41578a3a8ee411d4bf897482a
Swapr,Hats finance,18706,20785,,"","","","","",,dfc46b6b29eac35a27318145e845a5a798e2cdf5a7a1dd5f40af76a29655ae25
Liquity,Hats finance,223622,248469,,"","","","","",,f82c5e4eda46ba44c7d93aa545aac414205d43999dba22b3124d431e7c397679
Paladin,Hats finance,21228,26536,,"","","","","",,d0fc391f6d0f28dcd2621c6c748bd9e2869ff7451118c715cba33dacf7d5cd02
UMA,Hats finance,0,0,,"","","","","",,2384a08c641e1d688f5671fb2fdac533eed506246d3892b0c0122a5420b2dff7
GTON,Hats finance,1172,1465,,"","","","","",,965b38b6fae86d6bbc10207ed553f0194bc24557f31ee109e2040d88dab49c57
Inverse Finance,Hats finance,15921,19902,,"","","","","",,b6c01d0300958cf8f339e5b8405461860d76eaeeb7bcf7f242a7e51529c5150a
Holyheld,Hats finance,8338,10422,,"","","","","",,b00414c0d67c7136641ee7c80f4d9ecb8d4490c7e9c2535c96aae429a759c7e8
CVI,Hats finance,10332,12915,,"","","","","",,f15bf7ee07e7bedcc42f0a4f2c33430eb117ef8cad757f7d2219c3a9f3455a84
Spiral DAO,Hats finance,0,0,,"","","","","",,4b0d2a69ab0f96f73c82e6ade98311818974aa6bc919584435124cfe56fb2995
ICHI,Hats finance,15235,19044,,"","","","","",,aaaa5ccb1d024f0f0ada4ba4c1f3a27e18a04dc54c515913d3b8ba20f12671df
Paraswap,Hats finance,21463,26829,,"","","","","",,972a1e3f80c48686de57f6d40dc54e68364b362e2035981dc471c4cbd03d6329
kleros,Hats finance,28671,28674,,"","","","","",,95a5b0aea39dda75009ea98f6acf55f18fc9b769b8d8c9fd038059cc85e34569
TempleDAO,Hats finance,373273,466592,,"","","","","",,292a7011d4de26ca485ff7e5a3adf6cfb104751e0a49180993f15484a4599049
Quidli,Hats finance,8640,10800,,"","","","","",,e9a37afe15c0399a8231a7247b24edb7ac34b5b9bf273630109982cc4fdaf751
0vix,Hats finance,0,0,,"","","","","",,bb94b71b249fb722d5cff61ec0cb731a3cc39cc0e6680eb359a3fac46b373e7b
FujiDAO,Hats finance,16419,20523,,"","","","","",,020999219c88ff4a06d08dc143f9e354d14b5ed724851ae1484420c411d606ee
Ghast Protocol,Hats finance,0,0,,"","","","","",,d13100ea98fe49b359d0055fd6085006db31d74e016f911cddbf110239f98f06
ChickenBonds,Hats finance,44852,49836,,"","","","","",,e806f684403a4a497ad91d4d40bcdde21c17be4b5c768e7ebf5c3c1da0a14cb6
Giveth,Hats finance,2841,3157,,"","","","","",,3795b4efa3afdee3200604a3ec54a26964fd40682d12991095de0d7aa4aa87cf
B.protocol,Hats finance,18734,23417,,"","","","","",,55c1e58b477ea784170c209b0ec25e71664be81534d174481710ba761310d592
Raft finance,Hats finance,66452,73835,,"","","","","",,6206a769951b3ddb93cc936e5d112972dcc6ecc319ac0b12c0332bb298d83793
Hats.finance (USDC),Hats finance,120085,150106,,"","","","","",,39d331833aea58a7b5faec3e18583f42e2438ec2938e103bba9194cb67cc3110
GoodDollar,Hats finance,0,0,,"","","","","",,ca938d4d8908b0794c46283ff8ab4b69506eb709d49c0e864e9f6d042d619077
DXdao,Hats finance,0,0,,"","","","","",,caa1ef552c9063db4f6a1465e99b67f051945fbfce94df2abc76b17d80e5a9d3
